Cidade,UF,Populacao,Domicilios,Populacao urbana,Renda media,Empresas CNPJ relacionadas,Desentupidoras Google,Empresas Google Maps,Concorrentes com site,Concorrentes 24h,Total de avaliacoes,Media das avaliacoes,Maior numero de avaliacoes,Google Ads,Concorrencia SEO,Busca desentupidora,Busca desentupimento,Busca limpa fossa,Saneamento,Rede de esgoto,Distancia da cidade grande (km),Quantidade de cidades proximas,Area potencial de atendimento,Preco medio,Potencial residencial,Potencial comercial,Potencial industrial,Potencial condominios,Nota concorrencia,Nota demanda,Nota mercado,Nota oportunidade,Observacoes,Nota Oportunidade Parcial (Pop x %Saneamento),Ranking Parcial
Jaraguá do Sul,SC,199519,,,,,,,,,,,,,,,,,"78,21","660,1",,,,,,,,,,,,,,156044,8
Rio Grande,RS,198935,,,,,,,,,,,,,,,,,"34,47","199,02",,,,,,,,,,,,,,68573,137
Cachoeiro de Itapemirim,ES,198342,,,,,,,,,,,,,,,,,"93,67","563,37",,,,,,,,,,,,,,185787,1
Itabuna,BA,196344,,,,,,,,,,,,,,,,,"89,75","362,8",,,,,,,,,,,,,,176219,4
Alvorada,RS,194062,,,,,,,,,,,,,,,,,"41,23","255,93",,,,,,,,,,,,,,80012,109
Guarapuava,PR,189630,,,,,,,,,,,,,,,,,"96,02","701,23",,,,,,,,,,,,,,182083,2
Santa Bárbara d'Oeste,SP,189456,,,,,,,,,,,,,,,,,"95,56","722,71",,,,,,,,,,,,,,181044,3
Ilhéus,BA,189149,,,,,,,,,,,,,,,,,"54,86","154,07",,,,,,,,,,,,,,103767,60
Ferraz de Vasconcelos,SP,186479,,,,,,,,,,,,,,,,,"86,82","275,19",,,,,,,,,,,,,,161901,7
Bragança Paulista,SP,185688,,,,,,,,,,,,,,,,,"75,77","557,29",,,,,,,,,,,,,,140696,13
Linhares,ES,183797,,,,,,,,,,,,,,,,,"80,64","393,18",,,,,,,,,,,,,,148214,11
Araguaína,TO,183024,,,,,,,,,,,,,,,,,"30,72","404,01",,,,,,,,,,,,,,56225,176
Timon,MA,182711,,,,,,,,,,,,,,,,,"31,75","257,46",,,,,,,,,,,,,,58011,170
Porto Seguro,BA,182630,,,,,,,,,,,,,,,,,"56,96","345,36",,,,,,,,,,,,,,104026,58
Barra Mansa,RJ,181679,,,,,,,,,,,,,,,,,"74,25","580,27",,,,,,,,,,,,,,134897,18
Ibirité,MG,179582,,,,,,,,,,,,,,,,,"69,41","316,79",,,,,,,,,,,,,,124648,31
Angra dos Reis,RJ,179142,,,,,,,,,,,,,,,,,"51,4","281,29",,,,,,,,,,,,,,92079,85
Mesquita,RJ,178830,,,,,,,,,,,,,,,,,"12,65","131,38",,,,,,,,,,,,,,22622,309
Teresópolis,RJ,176735,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Itu,SP,175047,,,,,,,,,,,,,,,,,"73,75","549,94",,,,,,,,,,,,,,129097,23
Senador Canedo,GO,175042,,,,,,,,,,,,,,,,,"2,57","42,4",,,,,,,,,,,,,,4499,394
São Caetano do Sul,SP,172693,,,,,,,,,,,,,,,,,"95,92","328,35",,,,,,,,,,,,,,165647,5
Pindamonhangaba,SP,172681,,,,,,,,,,,,,,,,,"90,33","452,78",,,,,,,,,,,,,,155983,9
Lages,SC,172458,,,,,,,,,,,,,,,,,"40,43","204,33",,,,,,,,,,,,,,69725,133
Abaetetuba,PA,172344,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Poços de Caldas,MG,172339,,,,,,,,,,,,,,,,,"95,01","978,98",,,,,,,,,,,,,,163739,6
Barreiras,BA,171634,,,,,,,,,,,,,,,,,"68,32","310,2",,,,,,,,,,,,,,117260,38
Francisco Morato,SP,171476,,,,,,,,,,,,,,,,,"66,99","236,31",,,,,,,,,,,,,,114872,43
Parnaíba,PI,170491,,,,,,,,,,,,,,,,,"39,07","796,4",,,,,,,,,,,,,,66611,142
Jequié,BA,169201,,,,,,,,,,,,,,,,,"75,25","463,69",,,,,,,,,,,,,,127324,27
Patos de Minas,MG,169173,,,,,,,,,,,,,,,,,"77,97","772,13",,,,,,,,,,,,,,131904,21
Rio das Ostras,RJ,168455,,,,,,,,,,,,,,,,,"24,67",215,,,,,,,,,,,,,,41558,237
Atibaia,SP,167161,,,,,,,,,,,,,,,,,"53,33",402,,,,,,,,,,,,,,89147,92
Fazenda Rio Grande,PR,165943,,,,,,,,,,,,,,,,,"89,7","356,37",,,,,,,,,,,,,,148851,10
Itapetininga,SP,164256,,,,,,,,,,,,,,,,,"84,03","472,03",,,,,,,,,,,,,,138024,16
Santana de Parnaíba,SP,163787,,,,,,,,,,,,,,,,,"61,26","372,74",,,,,,,,,,,,,,100336,68
Caxias,MA,163546,,,,,,,,,,,,,,,,,"7,34","59,41",,,,,,,,,,,,,,12004,359
Itapecerica da Serra,SP,163003,,,,,,,,,,,,,,,,,"57,03","261,99",,,,,,,,,,,,,,92961,83
Araucária,PR,162247,,,,,,,,,,,,,,,,,"85,09","263,78",,,,,,,,,,,,,,138056,15
Pouso Alegre,MG,162133,,,,,,,,,,,,,,,,,"83,09","534,82",,,,,,,,,,,,,,134716,19
Alagoinhas,BA,161196,,,,,,,,,,,,,,,,,"36,44",141,,,,,,,,,,,,,,58740,164
Santa Rita,PB,160852,,,,,,,,,,,,,,,,,"3,71",171,,,,,,,,,,,,,,5968,387
Toledo,PR,160701,,,,,,,,,,,,,,,,,"87,55","740,99",,,,,,,,,,,,,,140694,14
Mogi Guaçu,SP,160318,,,,,,,,,,,,,,,,,"91,48","593,05",,,,,,,,,,,,,,146659,12
Camaragibe,PE,156112,,,,,,,,,,,,,,,,,"1,16","7,7",,,,,,,,,,,,,,1811,413
Nilópolis,RJ,155500,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Brusque,SC,155307,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Teixeira de Freitas,BA,153738,,,,,,,,,,,,,,,,,"55,74","248,64",,,,,,,,,,,,,,85694,99
Trindade,GO,153560,,,,,,,,,,,,,,,,,"64,39","336,08",,,,,,,,,,,,,,98877,72
Paço do Lumiar,MA,153158,,,,,,,,,,,,,,,,,"34,01","141,17",,,,,,,,,,,,,,52089,192
Garanhuns,PE,151803,,,,,,,,,,,,,,,,,"12,55","129,72",,,,,,,,,,,,,,19051,321
Balneário Camboriú,SC,151674,,,,,,,,,,,,,,,,,"90,33","269,66",,,,,,,,,,,,,,137007,17
Botucatu,SP,151053,,,,,,,,,,,,,,,,,"88,89","521,73",,,,,,,,,,,,,,134271,20
Franco da Rocha,SP,150241,,,,,,,,,,,,,,,,,"78,55","261,91",,,,,,,,,,,,,,118014,36
Paranaguá,PR,150104,,,,,,,,,,,,,,,,,"77,81",666,,,,,,,,,,,,,,116796,41
Queimados,RJ,149135,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Cametá,PA,144859,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,436
Campo Largo,PR,144504,,,,,,,,,,,,,,,,,"66,74","284,74",,,,,,,,,,,,,,96442,76
