Cidade,UF,IndiceConcorrenciaFraca,TotalResultados,Sociais,Diretorios,Marketplaces,SitesProprios
"Bragança Paulista","SP",0.0,9,0,0,0,9
"Toledo","PR",22.2,9,2,0,0,7
"Itapetininga","SP",33.3,9,2,1,0,6
"Balneário Camboriú","SC",11.1,9,1,0,0,8
"Barra Mansa","RJ",37.5,8,2,1,0,5
"Pouso Alegre","MG",11.1,9,0,1,0,8
"Botucatu","SP",30.0,10,2,1,0,7
"Patos de Minas","MG",55.6,9,2,3,0,4
"Jaú","SP",11.1,9,1,0,0,8
"Itu","SP",0.0,9,0,0,0,9
"Araras","SP",0.0,9,0,0,0,9
"Apucarana","PR",33.3,9,2,1,0,6
"Salto","SP",0.0,9,0,0,0,9
"Jequié","BA",33.3,9,1,2,0,6
"Pinhais","PR",0.0,9,0,0,0,9
"Sertãozinho","SP",0.0,9,0,0,0,9
"Varginha","MG",33.3,9,1,2,0,6
"Ibirité","MG",0.0,10,0,0,0,10
"Resende","RJ",22.2,9,1,1,0,7
"Votorantim","SP",0.0,9,0,0,0,9
"Três Lagoas","MS",22.2,9,0,2,0,7
"Barbacena","MG",30.0,10,1,2,0,7
"Franco da Rocha","SP",0.0,9,0,0,0,9
"Araguari","MG",22.2,9,2,0,0,7
"Barreiras","BA",33.3,9,1,2,0,6
