Cidade,UF,IndiceConcorrenciaFraca,TotalResultados,Sociais,Diretorios,Marketplaces,SitesProprios
"Bebedouro","SP",10.0,10,1,0,0,9
"Itajubá","MG",11.1,9,1,0,0,8
"Bagé","RS",50.0,8,2,2,0,4
"Três Rios","RJ",0.0,9,0,0,0,9
"Lins","SP",22.2,9,2,0,0,7
"Cajamar","SP",11.1,9,1,0,0,8
"Telêmaco Borba","PR",40.0,10,3,1,0,6
"Almirante Tamandaré","PR",10.0,10,1,0,0,9
"Cruzeiro","SP",0.0,9,0,0,0,9
"São Mateus","ES",0.0,9,0,0,0,9
"Catalão","GO",33.3,9,1,2,0,6
"Jaboticabal","SP",0.0,9,0,0,0,9
"Paracatu","MG",33.3,9,2,1,0,6
"Serra Talhada","PE",11.1,9,1,0,0,8
"Viçosa","MG",22.2,9,2,0,0,7
"Luís Eduardo Magalhães","BA",44.4,9,1,3,0,5
"Itapira","SP",22.2,9,2,0,0,7
"Mineiros","GO",44.4,9,1,3,0,5
"Lages","SC",30.0,10,2,1,0,7
"Sarandi","PR",22.2,9,2,0,0,7
"Vinhedo","SP",0.0,9,0,0,0,9
"Alfenas","MG",11.1,9,1,0,0,8
"Rio Grande","RS",44.4,9,3,1,0,5
"Primavera do Leste","MT",44.4,9,3,1,0,5
"Fernandópolis","SP",30.0,10,3,0,0,7
"Itapeva","SP",11.1,9,1,0,0,8
"Pirassununga","SP",0.0,9,0,0,0,9
"Parnaíba","PI",22.2,9,2,0,0,7
"Cubatão","SP",0.0,10,0,0,0,10
"Saquarema","RJ",11.1,9,1,0,0,8
"Lençóis Paulista","SP",30.0,10,2,1,0,7
"Goianésia","GO",12.5,8,1,0,0,7
"Guarapari","ES",14.3,7,1,0,0,6
"Arujá","SP",0.0,9,0,0,0,9
"Vacaria","RS",33.3,9,2,1,0,6
"Itapetinga","BA",11.1,9,1,0,0,8
"Três Corações","MG",0.0,9,0,0,0,9
"Unaí","MG",50.0,8,3,1,0,4
"Valença","BA",25.0,8,2,0,0,6
"Mirassol","SP",0.0,9,0,0,0,9
