Ranking,Cidade,UF,Populacao,NotaOportunidadeParcial,Status,SERP_Keyword,Sociais,Diretorios,Marketplaces,SitesProprios,TotalResultadosSERP,IndiceConcorrenciaFraca,BarraConcorrenciaFraca,NotaFinal,Observacoes
1,Cachoeiro de Itapemirim,ES,198342,185787,🟢 cadastrada,desentupidora Cachoeiro de Itapemirim,2,1,0,6,9,0.3333,███░░░░░░░,247716,
2,Guarapuava,PR,189630,182083,🟢 cadastrada,desentupidora Guarapuava,1,1,0,6,8,0.2500,███░░░░░░░,227604,
3,Santa Bárbara d'Oeste,SP,189456,181044,🟢 cadastrada,desentupidora Santa Bárbara d'Oeste,1,0,0,8,9,0.1111,█░░░░░░░░░,201160,
4,Itabuna,BA,196344,176219,🟢 cadastrada,desentupidora Itabuna,2,2,0,5,9,0.4444,████░░░░░░,254539,
5,São Caetano do Sul,SP,172693,165647,🟢 cadastrada,desentupidora São Caetano do Sul,0,0,0,9,9,0.0000,░░░░░░░░░░,165647,
6,Poços de Caldas,MG,172339,163739,🟢 cadastrada,desentupidora Poços de Caldas,0,3,0,6,9,0.3333,███░░░░░░░,218319,
7,Ferraz de Vasconcelos,SP,186479,161901,🟢 cadastrada,desentupidora Ferraz de Vasconcelos,0,0,0,9,9,0.0000,░░░░░░░░░░,161901,
8,Jaraguá do Sul,SC,199519,156044,🟢 cadastrada,desentupidora Jaraguá do Sul,2,0,0,7,9,0.2222,██░░░░░░░░,190720,
9,Pindamonhangaba,SP,172681,155983,🟡 livre,desentupidora Pindamonhangaba,0,0,0,9,9,0.0000,░░░░░░░░░░,155983,
10,Fazenda Rio Grande,PR,165943,148851,🟡 livre,desentupidora Fazenda Rio Grande,1,0,0,8,9,0.1111,█░░░░░░░░░,165390,
11,Linhares,ES,183797,148214,🟢 cadastrada,desentupidora Linhares,1,1,0,6,8,0.2500,███░░░░░░░,185268,
12,Mogi Guaçu,SP,160318,146659,🟡 livre,desentupidora Mogi Guaçu,1,0,0,8,9,0.1111,█░░░░░░░░░,162954,
13,Bragança Paulista,SP,185688,140696,🟡 livre,desentupidora Bragança Paulista,0,0,0,9,9,0.0000,░░░░░░░░░░,140696,
14,Toledo,PR,160701,140694,🟡 livre,desentupidora Toledo,2,0,0,7,9,0.2222,██░░░░░░░░,171959,
15,Araucária,PR,162247,138056,🟢 cadastrada,,,,,,,,,138056,
16,Itapetininga,SP,164256,138024,🟡 livre,desentupidora Itapetininga,2,1,0,6,9,0.3333,███░░░░░░░,184032,
17,Balneário Camboriú,SC,151674,137007,🟡 livre,desentupidora Balneário Camboriú,1,0,0,8,9,0.1111,█░░░░░░░░░,152230,
18,Barra Mansa,RJ,181679,134897,🟡 livre,desentupidora Barra Mansa,2,1,0,5,8,0.3750,████░░░░░░,185483,
19,Pouso Alegre,MG,162133,134716,🟡 livre,desentupidora Pouso Alegre,0,1,0,8,9,0.1111,█░░░░░░░░░,149684,
20,Botucatu,SP,151053,134271,🟡 livre,desentupidora Botucatu,2,1,0,7,10,0.3000,███░░░░░░░,174552,
21,Patos de Minas,MG,169173,131904,🟡 livre,desentupidora Patos de Minas,2,3,0,4,9,0.5556,██████░░░░,205184,
22,Jaú,SP,137409,129357,🟡 livre,desentupidora Jaú,1,0,0,8,9,0.1111,█░░░░░░░░░,143730,
23,Itu,SP,175047,129097,🟡 livre,desentupidora Itu,0,0,0,9,9,0.0000,░░░░░░░░░░,129097,
24,Araras,SP,135744,128550,🟡 livre,desentupidora Araras,0,0,0,9,9,0.0000,░░░░░░░░░░,128550,
25,Apucarana,PR,134910,127962,🟡 livre,desentupidora Apucarana,2,1,0,6,9,0.3333,███░░░░░░░,170616,
26,Salto,SP,141111,127451,🟡 livre,desentupidora Salto,0,0,0,9,9,0.0000,░░░░░░░░░░,127451,
27,Jequié,BA,169201,127324,🟡 livre,desentupidora Jequié,1,2,0,6,9,0.3333,███░░░░░░░,169765,
28,Pinhais,PR,131255,127015,🟡 livre,desentupidora Pinhais,0,0,0,9,9,0.0000,░░░░░░░░░░,127015,
29,Sertãozinho,SP,132176,126387,🟡 livre,desentupidora Sertãozinho,0,0,0,9,9,0.0000,░░░░░░░░░░,126387,
30,Varginha,MG,143676,126262,🟡 livre,desentupidora Varginha,1,2,0,6,9,0.3333,███░░░░░░░,168349,
31,Ibirité,MG,179582,124648,🟡 livre,desentupidora Ibirité,0,0,0,10,10,0.0000,░░░░░░░░░░,124648,
32,Resende,RJ,137697,123432,🟡 livre,desentupidora Resende,1,1,0,7,9,0.2222,██░░░░░░░░,150861,
33,Votorantim,SP,133510,122402,🟡 livre,desentupidora Votorantim,0,0,0,9,9,0.0000,░░░░░░░░░░,122402,
34,Três Lagoas,MS,143523,120559,🟡 livre,desentupidora Três Lagoas,0,2,0,7,9,0.2222,██░░░░░░░░,147350,
35,Barbacena,MG,129695,120344,🟡 livre,desentupidora Barbacena,1,2,0,7,10,0.3000,███░░░░░░░,156447,
36,Franco da Rocha,SP,150241,118014,🟡 livre,desentupidora Franco da Rocha,0,0,0,9,9,0.0000,░░░░░░░░░░,118014,
37,Araguari,MG,123432,117804,🟡 livre,desentupidora Araguari,2,0,0,7,9,0.2222,██░░░░░░░░,143983,
